Date,Close,High,Low,Open,Unnamed: 0,Volume,ma10,ma20,ma5,成交筆數,成交金額,漲跌價差
110/03/02,42.1,42.5,42.1,42.25,0.0,21420625,,,,6796,906927040,0.1
110/03/03,42.55,42.6,42.25,42.4,1.0,18135047,,,,5415,769759407,0.45
110/03/04,42.5,42.55,42.15,42.55,2.0,19801467,,,,6972,838685338,-0.05
110/03/05,42.5,42.5,42.05,42.15,3.0,9262307,,,,3296,392707343,0.0
110/03/08,42.65,42.9,42.55,42.6,4.0,29090035,,,42.46,5849,1178550422,0.15
110/03/09,43.4,43.4,42.8,42.9,5.0,24736825,,,42.720000000000006,11262,1065107252,0.75
110/03/10,43.0,43.4,42.9,43.4,6.0,23663072,,,42.81,10925,1018547236,-0.4
110/03/11,42.85,43.2,42.85,43.15,7.0,22296062,,,42.88000000000001,8472,958151923,-0.15
110/03/12,42.7,42.85,42.55,42.8,8.0,18550910,,,42.92,8663,791480365,-0.15
110/03/15,42.35,42.75,42.3,42.7,9.0,24555341,42.66000000000001,,42.86000000000001,12410,1043325517,-0.35
110/03/16,42.6,42.7,42.35,42.4,10.0,10741370,42.71000000000001,,42.7,4876,457117591,0.25
110/03/17,42.85,42.95,42.65,42.7,11.0,12653419,42.74000000000001,,42.67,6625,542051941,0.25
110/03/18,43.1,43.25,42.9,42.9,12.0,14889159,42.80000000000001,,42.72000000000001,6539,641451149,0.25
110/03/19,42.7,43.0,42.6,43.0,13.0,23488235,42.82000000000001,,42.72000000000001,6968,1004044763,-0.4
110/03/22,45.8,46.9,45.05,46.85,14.0,102000789,43.13500000000001,,43.41000000000002,42072,4674290576,3.1
110/03/23,45.7,46.0,45.6,46.0,15.0,38751832,43.365000000000016,,44.03000000000002,15253,1773398488,-0.1
110/03/24,45.55,45.75,45.5,45.7,16.0,21118254,43.62000000000002,,44.57000000000002,9483,962980283,-0.15
110/03/25,45.55,45.65,45.35,45.55,17.0,23439316,43.890000000000015,,45.06000000000002,9509,1066131621,0.0
110/03/26,46.15,46.25,45.6,45.6,18.0,39771169,44.235000000000014,,45.75000000000002,14731,1831556508,0.6
110/03/29,46.5,46.6,46.2,46.45,19.0,31037275,44.65000000000001,43.655,45.89000000000002,11788,1441000335,0.35
110/03/30,46.55,46.6,46.25,46.5,20.0,34184434,45.04500000000001,43.8775,46.060000000000024,8354,1587363402,0.05
110/03/31,46.8,46.8,46.55,46.6,21.0,21882853,45.44000000000001,44.089999999999996,46.310000000000024,8822,1022451932,0.25
110/04/01,46.7,46.95,46.6,46.85,,16542110,45.800000000000004,44.3,46.54000000000002,7051,772765655,-0.1
110/04/06,46.85,46.95,46.6,46.85,,33845298,46.21500000000001,44.5175,46.68000000000002,13638,1584212660,0.15
110/04/07,46.8,46.85,46.7,46.8,,12964742,46.31500000000001,44.725,46.74000000000002,5953,606582722,-0.05
110/04/08,46.9,46.9,46.6,46.7,,16095270,46.43500000000001,44.9,46.81000000000002,7734,753019406,0.1
110/04/09,46.7,47.05,46.7,46.9,,19693919,46.550000000000004,45.085,46.790000000000006,9966,922360423,-0.2
110/04/12,46.85,46.85,46.7,46.7,,18150925,46.68,45.285000000000004,46.820000000000014,7261,849423889,0.15
110/04/13,47.2,47.5,46.85,46.9,,31772378,46.785000000000004,45.510000000000005,46.890000000000015,14139,1500852046,0.35
110/04/14,47.0,47.3,46.6,47.25,,26957007,46.835,45.7425,46.93000000000001,11132,1265737458,-0.2
110/04/15,47.9,48.5,47.0,47.05,,39227693,46.97,46.0075,47.13,14647,1880939840,0.9
110/04/16,49.0,49.0,47.75,47.9,,54142060,47.190000000000005,46.315,47.589999999999996,19206,2622752960,1.1
110/04/19,50.4,50.5,49.75,49.9,,61427913,47.56000000000001,46.67999999999999,48.3,27163,3074242573,1.4
110/04/20,52.0,54.9,51.1,53.1,,93792314,48.07500000000001,47.144999999999996,49.260000000000005,42840,4926535026,1.6
110/04/21,55.7,56.9,52.1,52.2,,139647984,48.96500000000002,47.64,51.0,58872,7594206791,3.7
110/04/22,54.1,58.7,53.5,57.1,,204668299,49.68500000000002,48.059999999999995,52.24000000000001,82759,11590653736,-1.6
110/04/23,53.0,53.8,51.1,53.7,,105526229,50.31500000000001,48.4325,53.040000000000006,45023,5547615744,-1.1
110/04/26,53.1,54.2,52.1,53.4,,79418607,50.94000000000001,48.81,53.58000000000002,35187,4226623533,0.1
110/04/27,52.7,53.2,52.5,53.2,,41576962,51.49000000000001,49.1375,53.72000000000001,20636,2191107853,-0.4
110/04/28,53.2,53.2,52.1,52.7,,42357712,52.110000000000014,49.472500000000004,53.22000000000001,19766,2225015075,0.5
110/04/29,52.1,53.1,52.1,53.0,,44585563,52.530000000000015,49.75,52.820000000000014,21163,2336765438,-1.1
110/05/03,51.2,52.0,50.6,52.0,,59137235,52.75000000000002,49.970000000000006,52.460000000000015,26287,3034807637,-0.9
110/05/04,50.2,52.0,49.0,51.4,,93561732,52.73000000000003,50.145,51.88000000000001,34397,4719905037,-1.0
110/05/05,50.8,51.4,49.6,50.0,,51699126,52.61000000000003,50.3425,51.500000000000014,17527,2600108151,0.6
110/05/06,53.0,53.0,50.9,50.9,,43460127,52.34000000000002,50.652499999999996,51.460000000000015,18719,2248829790,2.2
110/05/07,52.3,53.4,51.7,53.2,,43699244,52.16000000000001,50.9225,51.500000000000014,20582,2283736987,-0.7
110/05/10,52.9,53.3,52.2,52.5,,31901563,52.15000000000001,51.232499999999995,51.84000000000001,14425,1681573246,0.6
110/05/11,51.6,53.2,50.9,52.5,,55872332,52.000000000000014,51.46999999999999,52.12000000000002,24787,2913813238,-1.3
110/05/12,49.6,51.6,47.5,51.1,,97055506,51.69000000000001,51.58999999999999,51.88000000000002,46424,4805266046,-2.0
110/05/13,49.2,50.0,47.25,47.45,,54496157,51.290000000000006,51.69999999999999,51.12000000000002,24641,2663178339,-0.4
110/05/14,49.6,50.3,49.3,49.6,,38504239,51.040000000000006,51.78499999999998,50.58000000000002,16155,1914633598,0.4
110/05/17,47.9,49.05,47.5,47.8,,52837567,50.71000000000001,51.72999999999998,49.58000000000001,25508,2541063222,-1.7
110/05/18,50.0,50.0,48.2,48.2,,32663784,50.69000000000001,51.70999999999998,49.26000000000002,14854,1618241584,2.1
110/05/19,50.5,50.8,49.5,49.9,,29743622,50.66000000000001,51.63499999999998,49.44000000000001,13416,1494616213,0.5
110/05/20,50.8,51.3,50.0,51.0,,31634237,50.44000000000001,51.38999999999997,49.76000000000001,12606,1604836638,0.3
110/05/21,51.2,53.9,50.8,53.9,,29217416,50.33000000000001,51.24499999999998,50.08000000000001,12000,1515662783,0.4
110/05/24,51.3,51.5,50.4,50.8,,16039843,50.170000000000016,51.15999999999998,50.760000000000005,7548,819541028,0.1
110/05/25,51.1,51.6,51.0,51.4,,15077611,50.12000000000002,51.059999999999974,50.980000000000004,8958,772387966,-0.2
110/05/26,50.7,51.5,50.6,51.1,,18836027,50.23000000000002,50.959999999999965,51.02,9166,958796425,-0.4
110/05/27,50.3,50.4,49.85,50.0,,41438932,50.34000000000002,50.81499999999996,50.92,13560,2076431036,-0.4
110/05/28,50.6,50.7,50.1,50.4,,16662777,50.44000000000001,50.73999999999996,50.80000000000001,7317,840647618,0.3
110/05/31,51.6,51.6,50.5,50.6,,24168725,50.81000000000002,50.759999999999955,50.860000000000014,9705,1239154572,1.0
110/06/01,51.5,51.6,51.2,51.6,,9774499,50.960000000000015,50.82499999999995,50.94000000000001,4923,502441292,-0.1
110/06/02,52.0,52.1,51.4,51.6,,22482449,51.110000000000014,50.884999999999955,51.20000000000001,10185,1161954262,0.5
110/06/03,52.3,52.4,51.8,52.0,,23863470,51.26000000000001,50.84999999999995,51.60000000000001,10596,1242256578,0.3
110/06/04,51.9,52.3,51.7,52.3,,12355472,51.330000000000005,50.82999999999996,51.86,6843,641443642,-0.4
110/06/07,51.5,52.0,50.8,51.9,,12370230,51.35000000000001,50.75999999999996,51.839999999999996,6835,636060324,-0.4
110/06/08,51.4,51.8,51.1,51.8,,8763161,51.38000000000001,50.74999999999996,51.81999999999999,5009,449962190,-0.1
110/06/09,51.3,51.4,50.8,51.1,,11685183,51.44,50.834999999999965,51.67999999999999,6534,596022339,-0.1
110/06/10,51.5,51.5,50.9,51.3,,9323968,51.56,50.94999999999997,51.519999999999996,4307,477156302,0.2
110/06/11,51.4,51.6,51.2,51.5,,8545178,51.64,51.03999999999997,51.419999999999995,3943,438820492,-0.1
110/06/15,51.3,51.4,51.0,51.1,,9340616,51.60999999999999,51.209999999999965,51.379999999999995,4670,477995429,-0.1
110/06/16,51.9,52.0,51.3,51.4,,17406495,51.64999999999999,51.30499999999997,51.48,8587,900092736,0.6
110/06/17,51.5,51.8,51.4,51.6,,15211770,51.59999999999999,51.354999999999976,51.519999999999996,7280,783838131,-0.4
110/06/18,51.0,51.4,51.0,51.3,,24209277,51.46999999999999,51.364999999999974,51.419999999999995,9442,1236734265,-0.5
110/06/21,50.7,51.2,50.4,50.5,,20719944,51.35,51.339999999999975,51.279999999999994,9089,1050893361,-0.3
110/06/22,50.9,51.2,50.6,50.7,,15262032,51.29,51.31999999999998,51.19999999999999,6587,777774454,0.2
110/06/23,51.0,51.1,50.5,50.9,,16479092,51.25,51.31499999999998,51.01999999999999,6359,838303576,0.1
110/06/24,51.1,51.2,50.8,51.0,,13545751,51.230000000000004,51.33499999999998,50.93999999999998,4747,691369731,0.1
110/06/25,51.0,51.3,50.8,51.1,,16027596,51.18000000000001,51.36999999999998,50.93999999999998,8051,818185461,-0.1
110/06/28,51.1,51.2,50.8,51.0,,16044822,51.15000000000001,51.39499999999998,51.019999999999996,7180,818777694,0.1
110/06/29,51.2,51.2,50.9,51.1,,11142372,51.140000000000015,51.374999999999986,51.07999999999999,5523,569049268,0.1
110/06/30,51.0,51.2,50.9,51.1,,13888581,51.05000000000001,51.34999999999999,51.08,7174,709208377,-0.2
110/07/01,50.6,51.0,50.6,50.9,,21255834,50.960000000000015,51.27999999999999,50.980000000000004,10298,1077678755,-0.4
110/07/02,50.5,50.9,50.5,50.6,,17261412,50.91000000000001,51.18999999999998,50.879999999999995,9946,874049827,-0.1
110/07/05,50.6,51.0,50.5,50.9,,24887100,50.90000000000002,51.124999999999986,50.78,10379,1261086884,0.1
110/07/06,51.2,51.3,50.7,50.9,,24057474,50.93000000000002,51.10999999999998,50.78000000000001,10566,1227257324,0.6
110/07/07,51.3,51.3,51.0,51.1,,24259700,50.960000000000015,51.104999999999976,50.84000000000001,10028,1241307825,0.1
110/07/08,52.8,52.9,51.5,51.5,,53623501,51.13000000000001,51.179999999999986,51.28000000000001,22774,2814784412,1.5
110/07/09,52.0,52.8,51.8,52.5,,37913759,51.230000000000004,51.204999999999984,51.580000000000005,16074,1977412863,-0.8
110/07/12,52.2,52.4,51.8,52.2,,26725789,51.34000000000001,51.24499999999998,51.9,10097,1390815526,0.2
110/07/13,51.9,52.5,51.7,52.5,,23392966,51.410000000000004,51.27499999999999,52.04,9927,1217373151,-0.3
110/07/14,51.5,52.0,51.3,51.9,,20343534,51.46,51.25499999999998,52.08,8784,1047180343,-0.4
110/07/15,51.6,51.8,51.3,51.5,,11938157,51.56,51.25999999999998,51.839999999999996,5094,615005211,0.1
110/07/16,51.5,51.6,51.3,51.5,,12188101,51.660000000000004,51.28499999999998,51.739999999999995,5958,627236112,-0.1
110/07/19,52.0,52.0,51.3,51.4,,11286149,51.8,51.34999999999998,51.7,4773,583396825,0.5
110/07/20,51.7,51.8,51.4,51.6,,10145510,51.85,51.38999999999997,51.660000000000004,4446,523710103,-0.3
110/07/21,51.8,52.4,51.7,52.0,,24843451,51.9,51.42999999999997,51.720000000000006,10518,1291868626,0.1
110/07/22,52.1,52.3,51.9,52.3,,16553240,51.830000000000005,51.479999999999976,51.82000000000001,7073,861904218,0.3
110/07/23,53.0,53.1,52.2,52.3,,34420099,51.93000000000001,51.57999999999997,52.120000000000005,13742,1813726922,0.9
110/07/26,53.2,53.8,53.0,53.4,,24737557,52.03000000000001,51.68499999999998,52.36,10862,1320028119,0.2
110/07/27,53.0,53.3,52.6,53.3,,18654939,52.14000000000001,51.77499999999998,52.620000000000005,8187,986141697,-0.2
110/07/28,52.4,53.0,52.0,52.8,,36454371,52.230000000000004,51.844999999999985,52.739999999999995,13822,1908346074,-0.6
110/07/29,52.9,52.9,52.1,52.5,,18957983,52.36,51.959999999999994,52.89999999999999,7236,995989067,0.5
110/07/30,52.6,52.9,52.5,52.9,,12473682,52.470000000000006,52.06499999999998,52.81999999999999,5158,657537327,-0.3
110/08/02,52.8,52.8,52.5,52.7,,14023385,52.55,52.17499999999999,52.739999999999995,6962,738635946,+0.20
110/08/03,53.9,53.9,53.0,53.1,,45545154,52.769999999999996,52.30999999999999,52.919999999999995,16031,2441886377,+1.10
110/08/04,53.8,54.5,53.6,54.2,,23552465,52.96999999999999,52.43499999999999,53.2,9940,1271178027,-0.10
110/08/05,52.7,53.8,52.6,53.8,,38673195,53.029999999999994,52.42999999999999,53.160000000000004,14252,2050224696,-1.10
110/08/06,52.9,53.2,52.4,53.2,,32500825,53.019999999999996,52.475,53.21999999999999,9306,1714404302,+0.20
110/08/09,52.4,52.6,51.7,52.6,,33630358,52.93999999999998,52.485,53.139999999999986,11333,1755733056,-0.50
110/08/10,51.9,52.4,51.7,52.2,,34313716,52.829999999999984,52.485,52.73999999999999,11543,1780541159,-0.50
110/08/11,51.1,51.7,50.8,51.6,,59669569,52.69999999999999,52.464999999999996,52.19999999999999,24883,3049740724,-0.80
110/08/12,47.6,47.75,45.65,45.85,,87897408,52.169999999999995,52.265,51.17999999999999,30427,4140954924,X0.00
110/08/13,48.4,48.6,47.95,48.05,,23823791,51.749999999999986,52.11,50.27999999999999,12761,1150516862,+0.80
110/08/16,47.95,48.45,47.7,48.4,,26728439,51.265,51.907500000000006,49.38999999999999,12279,1281549042,-0.45
110/08/17,47.3,47.95,47.2,47.95,,25544445,50.605,51.6875,48.469999999999985,11718,1211673397,-0.65
110/08/18,47.25,47.3,46.4,46.9,,25211046,49.949999999999996,51.46,47.69999999999998,12379,1181293068,-0.05
